date,hippodrome,temperature,precipitation,vent_kmh,terrain_lourd,date_str,hippo_str
2025-11-14,SAINT-CLOUD,14.9,0.1,15.3,0,2025-11-14,SAINT-CLOUD
2025-11-14,VINCENNES,15.9,0.3,12.7,0,2025-11-14,VINCENNES
2025-11-15,LYON-PARILLY,14.2,3.9,24.4,1,2025-11-15,LYON-PARILLY
2025-11-15,AUTEUIL,12.9,0.6,5.7,0,2025-11-15,AUTEUIL
2025-11-15,LE CROISE LAROCHE,13.1,0.0,0.8,0,2025-11-15,LE CROISE LAROCHE
2025-11-15,LAVAL,11.9,0.1,11.5,0,2025-11-15,LAVAL
2025-11-16,VINCENNES,12.4,0.0,5.6,0,2025-11-16,VINCENNES
2025-11-16,AUTEUIL,9.6,0.0,8.6,0,2025-11-16,AUTEUIL
2025-11-17,VINCENNES,7.7,0.0,12.6,0,2025-11-17,VINCENNES
2025-11-17,LYON LA SOIE,7.1,0.0,15.6,0,2025-11-17,LYON LA SOIE
2025-11-18,CHANTILLY,6.7,0.2,12.4,0,2025-11-18,CHANTILLY
2025-11-18,VINCENNES,6.6,0.0,10.1,0,2025-11-18,VINCENNES
2025-11-19,MAUQUENCHY,3.8,0.7,19.7,0,2025-11-19,MAUQUENCHY
2025-11-19,FONTAINEBLEAU,4.1,0.4,18.5,0,2025-11-19,FONTAINEBLEAU
2025-11-19,AMIENS,4.3,1.5,29.8,0,2025-11-19,AMIENS
2025-11-20,SAINT-CLOUD,1.2,0.0,14.1,0,2025-11-20,SAINT-CLOUD
2025-11-20,VINCENNES,4.2,0.0,9.8,0,2025-11-20,VINCENNES
2025-11-21,CHANTILLY,3.7,0.0,13.4,0,2025-11-21,CHANTILLY
2025-11-21,VINCENNES,3.7,0.0,9.4,0,2025-11-21,VINCENNES
2025-11-22,LYON-PARILLY,-1.4,0.0,15.1,0,2025-11-22,LYON-PARILLY
2025-11-22,FONTAINEBLEAU,-2.0,0.0,5.5,0,2025-11-22,FONTAINEBLEAU
2025-11-22,VINCENNES,0.9,0.0,14.9,0,2025-11-22,VINCENNES
2025-11-22,CASABLANCA,17.9,0.0,12.1,0,2025-11-22,CASABLANCA
2025-11-23,AUTEUIL,2.3,0.0,15.5,0,2025-11-23,AUTEUIL
2025-11-24,CASABLANCA,16.1,0.0,1.7,0,2025-11-24,CASABLANCA
2025-11-24,VINCENNES,8.9,0.1,15.9,0,2025-11-24,VINCENNES
2025-11-24,NANTES,8.8,0.0,13.0,0,2025-11-24,NANTES
2025-11-24,LE CROISE LAROCHE,6.7,0.1,15.3,0,2025-11-24,LE CROISE LAROCHE
2025-11-25,DEAUVILLE,8.0,0.3,23.4,0,2025-11-25,DEAUVILLE
2025-11-25,VINCENNES,6.7,0.0,15.0,0,2025-11-25,VINCENNES
2025-11-26,DEAUVILLE,8.7,0.0,8.7,0,2025-11-26,DEAUVILLE
2025-11-26,AMIENS,3.5,0.0,12.9,0,2025-11-26,AMIENS
2025-11-26,VINCENNES,7.7,0.0,6.8,0,2025-11-26,VINCENNES
2025-11-27,VINCENNES,6.9,0.0,11.2,0,2025-11-27,VINCENNES
2025-11-27,MAUQUENCHY,8.6,0.0,18.3,0,2025-11-27,MAUQUENCHY
2025-11-28,COMPIEGNE,8.9,0.0,15.8,0,2025-11-28,COMPIEGNE
2025-11-28,PAU,7.4,0.0,2.3,0,2025-11-28,PAU
2025-11-28,VINCENNES,10.2,0.0,6.7,0,2025-11-28,VINCENNES
